id,date_time,date_type,interval,no,subject,tagids,value_type
1,2016-01-27 00:00:01,c,DAY,1,메인전력 일별 그래프,HV5_WATT_VALUE:TAG_4560_2_10,AVG
2,2016-01-27 00:00:01,c,DAY,2,HV10_WATT_VALUE 일별 그래프,HV10_WATT_VALUE:TAG_4560_2_100,AVG
3,2016-01-27 00:00:01,c,DAY,3,HV10_WH_HOUR 일별 그래프,HV10_WH_HOUR:TAG_4560_2_101,AVG
4,2016-01-27 00:00:01,c,DAY,4,HV10_WH_MONTH 일별 그래프,HV10_WH_MONTH:TAG_4560_2_102,AVG
5,2016-01-27 00:00:01,c,DAY,5,HV10_WH_PREVIOUS_DAY 일별 그래프,HV10_WH_PREVIOUS_DAY:TAG_4560_2_103,AVG
6,2016-01-27 00:00:01,c,DAY,6,HV10_WH_PREVIOUS_HOUR 일별 그래프,HV10_WH_PREVIOUS_HOUR:TAG_4560_2_104,AVG
7,2016-01-27 00:00:01,c,DAY,7,HV10_WH_PREVIOUS_MONTH 일별 그래프,HV10_WH_PREVIOUS_MONTH:TAG_4560_2_105,AVG
8,2016-01-27 00:00:01,c,DAY,8,HV10_WH_PREVIOUS_YEAR 일별 그래프,HV10_WH_PREVIOUS_YEAR:TAG_4560_2_106,AVG
9,2016-01-27 00:00:01,c,DAY,9,HV10_WH_TODAY 일별 그래프,HV10_WH_TODAY:TAG_4560_2_107,AVG
10,2016-01-27 00:00:01,c,DAY,10,HV10_WH_YEAR 일별 그래프,HV10_WH_YEAR:TAG_4560_2_108,AVG
11,2016-01-27 00:00:01,c,DAY,11,HV5_WH_HOUR 일별 그래프,HV5_WH_HOUR:TAG_4560_2_11,AVG
12,2016-01-27 00:00:01,c,DAY,12,LV1_WATT_VALUE 일별 그래프,LV1_WATT_VALUE:TAG_4560_2_119,AVG
13,2016-01-27 00:00:01,c,DAY,13,HV5_WH_MONTH 일별 그래프,HV5_WH_MONTH:TAG_4560_2_12,AVG
14,2016-01-27 00:00:01,c,DAY,14,LV1_WH_HOUR 일별 그래프,LV1_WH_HOUR:TAG_4560_2_120,AVG
15,2016-01-27 00:00:01,c,DAY,15,LV1_WH_MONTH 일별 그래프,LV1_WH_MONTH:TAG_4560_2_121,AVG
16,2016-01-27 00:00:01,c,DAY,16,LV1_WH_PREVIOUS_DAY 일별 그래프,LV1_WH_PREVIOUS_DAY:TAG_4560_2_122,AVG
17,2016-01-27 00:00:01,c,DAY,17,LV1_WH_PREVIOUS_HOUR 일별 그래프,LV1_WH_PREVIOUS_HOUR:TAG_4560_2_123,AVG
18,2016-01-27 00:00:01,c,DAY,18,LV1_WH_PREVIOUS_MONTH 일별 그래프,LV1_WH_PREVIOUS_MONTH:TAG_4560_2_124,AVG
19,2016-01-27 00:00:01,c,DAY,19,LV1_WH_PREVIOUS_YEAR7 일별 그래프,LV1_WH_PREVIOUS_YEAR7:TAG_4560_2_125,AVG
20,2016-01-27 00:00:01,c,DAY,20,LV1_WH_TODAY 일별 그래프,LV1_WH_TODAY:TAG_4560_2_126,AVG
21,2016-01-27 00:00:01,c,DAY,21,LV1_WH_YEAR 일별 그래프,LV1_WH_YEAR:TAG_4560_2_127,AVG
22,2016-01-27 00:00:01,c,DAY,22,HV5_WH_PREVIOUS_DAY 일별 그래프,HV5_WH_PREVIOUS_DAY:TAG_4560_2_13,AVG
23,2016-01-27 00:00:01,c,DAY,23,LV4_WATT_VALUE 일별 그래프,LV4_WATT_VALUE:TAG_4560_2_138,AVG
24,2016-01-27 00:00:01,c,DAY,24,LV4_WH_HOUR 일별 그래프,LV4_WH_HOUR:TAG_4560_2_139,AVG
25,2016-01-27 00:00:01,c,DAY,25,HV5_WH_PREVIOUS_HOUR 일별 그래프,HV5_WH_PREVIOUS_HOUR:TAG_4560_2_14,AVG
26,2016-01-27 00:00:01,c,DAY,26,LV4_WH_MONTH 일별 그래프,LV4_WH_MONTH:TAG_4560_2_140,AVG
