condition,no,tagid
HV5_FREQUENCY_Event 발생:val == "Active",1,HV5_FREQUENCY_Event:TAG_4560_5_10
HV10_FREQUENCY_Event 발생:val == "Active",2,HV10_FREQUENCY_Event:TAG_4560_5_108
HV10_ocgr_Alarm_Event 발생:val == "Active",3,HV10_ocgr_Alarm_Event:TAG_4560_5_109
HV5_ocgr_Alarm_Event 발생:val == "Active",4,HV5_ocgr_Alarm_Event:TAG_4560_5_11
HV10_ocr_Alarm_Event 발생:val == "Active",5,HV10_ocr_Alarm_Event:TAG_4560_5_110
HV10_Peak1_Event 발생:val == "Active",6,HV10_Peak1_Event:TAG_4560_5_111
HV10_Peak2_Event 발생:val == "Active",7,HV10_Peak2_Event:TAG_4560_5_112
HV10_Peak3_Event 발생:val == "Active",8,HV10_Peak3_Event:TAG_4560_5_113
HV10_PF_Alarm 발생:val == "Active",9,HV10_PF_Alarm:TAG_4560_5_114
HV5_ocr_Alarm_Event 발생:val == "Active",10,HV5_ocr_Alarm_Event:TAG_4560_5_12
LV1_ACB1_51X_ALARM 발생:val == "Active",11,LV1_ACB1_51X_ALARM:TAG_4560_5_121
HV5_opr_Alarm_Event 발생:val == "Active",12,HV5_opr_Alarm_Event:TAG_4560_5_13
LV1_PeakLEvent 발생:val == "Active",13,LV1_PeakLEvent:TAG_4560_5_137
LV1_Peak2_Event 발생:val == "Active",14,LV1_Peak2_Event:TAG_4560_5_138
LV1_Peak3_Event 발생:val == "Active",15,LV1_Peak3_Event:TAG_4560_5_139
HV5_ovr_Alarm_Event 발생:val == "Active",16,HV5_ovr_Alarm_Event:TAG_4560_5_14
LV1_PF_Alarm 발생:val == "Active",17,LV1_PF_Alarm:TAG_4560_5_140
LV4_ACB1_51x_ALARM 발생:val == "Active",18,LV4_ACB1_51x_ALARM:TAG_4560_5_147
HV5_Peak1_Event 발생:val == "Active",19,HV5_Peak1_Event:TAG_4560_5_15
HV5_Peak2_Event 발생:val == "Active",20,HV5_Peak2_Event:TAG_4560_5_16
GEN1_ocgr_Alarm_Event 발생:val == "Active",21,GEN1_ocgr_Alarm_Event:TAG_4560_5_162
LV4_Peak1_Event 발생:val == "Active",22,LV4_Peak1_Event:TAG_4560_5_163
LV4_Peak2_Event 발생:val == "Active",23,LV4_Peak2_Event:TAG_4560_5_164
LV4_Peak3_Event 발생:val == "Active",24,LV4_Peak3_Event:TAG_4560_5_165
LV4_PF_Alarm 발생:val == "Active",25,LV4_PF_Alarm:TAG_4560_5_166
HV5_I_Peak3_Event 발생:val == "Active",26,HV5_I_Peak3_Event:TAG_4560_5_17
LV8_ACB1_51x_ALARM 발생:val == "Active",27,LV8_ACB1_51x_ALARM:TAG_4560_5_173
HV5_PF_Alarm 발생:val == "Active",28,HV5_PF_Alarm:TAG_4560_5_18
GEN1_ocr_Alarm_Event 발생:val == "Active",29,GEN1_ocr_Alarm_Event:TAG_4560_5_182
GEN1_Peak1_Event 발생:val == "Active",30,GEN1_Peak1_Event:TAG_4560_5_183
GEN1_Peak2_Event 발생:val == "Active",31,GEN1_Peak2_Event:TAG_4560_5_187
GEN1_Peak3_Event 발생:val == "Active",32,GEN1_Peak3_Event:TAG_4560_5_188
LV8_Peak1Event 발생:val == "Active",33,LV8_Peak1Event:TAG_4560_5_189
LV8_Peak2_Event 발생:val == "Active",34,LV8_Peak2_Event:TAG_4560_5_190
LV8_Peak3_Event 발생:val == "Active",35,LV8_Peak3_Event:TAG_4560_5_191
LV8_PF_Alarm 발생:val == "Active",36,LV8_PF_Alarm:TAG_4560_5_192
LV13_ACB1_51X_ALARM 발생:val == "Active",37,LV13_ACB1_51X_ALARM:TAG_4560_5_199
GEN1_PF_Alarm 발생:val == "Active",38,GEN1_PF_Alarm:TAG_4560_5_208
LV13_Peak1_Event 발생:val == "Active",39,LV13_Peak1_Event:TAG_4560_5_215
LV13_Peak2_Event 발생:val == "Active",40,LV13_Peak2_Event:TAG_4560_5_216
LV13_Peak3_Event 발생:val == "Active",41,LV13_Peak3_Event:TAG_4560_5_217
LV13_PF_ALARM 발생:val == "Active",42,LV13_PF_ALARM:TAG_4560_5_218
LV14_ACB1_51x_ALARM 발생:val == "Active",43,LV14_ACB1_51x_ALARM:TAG_4560_5_225
LV14_LV11_FEED_ACB_51x_ALARM 발생:val == "Active",44,LV14_LV11_FEED_ACB_51x_ALARM:TAG_4560_5_228
LV14_Peak1_Event 발생:val == "Active",45,LV14_Peak1_Event:TAG_4560_5_232
LV14_Peak2_Event 발생:val == "Active",46,LV14_Peak2_Event:TAG_4560_5_233
LV14_Peak3_Event 발생:val == "Active",47,LV14_Peak3_Event:TAG_4560_5_234
