animateType,name,no,tagAddr,tagID,interval,criteria
changeTextFloor_1,냉동기01.공급온도,1,http://localhost:9898/current/hvac/2001_0_1,TAG_2001_0_1,3600000,NULL
changeTextFloor_1,냉동기01.환수온도,2,http://localhost:9898/current/hvac/2001_0_2,TAG_2001_0_2,3600000,NULL
changeTextFloor_1,냉동기02.공급온도,3,http://localhost:9898/current/hvac/2001_0_3,TAG_2001_0_3,3600000,NULL
changeTextFloor_1,냉동기02.환수온도,4,http://localhost:9898/current/hvac/2001_0_4,TAG_2001_0_4,3600000,NULL
changeTextFloor_1,냉동기03.공급온도,5,http://localhost:9898/current/hvac/2001_0_5,TAG_2001_0_5,3600000,NULL
changeTextFloor_1,냉동기03.환수온도,6,http://localhost:9898/current/hvac/2001_0_6,TAG_2001_0_6,3600000,NULL
changeTextFloor_1,냉각탑01.공급온도,7,http://localhost:9898/current/hvac/2001_0_7,TAG_2001_0_7,3600000,NULL
changeTextFloor_1,냉각탑01.환수온도,8,http://localhost:9898/current/hvac/2001_0_8,TAG_2001_0_8,3600000,NULL
changeTextFloor_1,냉각탑03.공급온도,9,http://localhost:9898/current/hvac/2001_0_9,TAG_2001_0_9,3600000,NULL
changeTextFloor_1,냉각탑03.환수온도,10,http://localhost:9898/current/hvac/2001_0_10,TAG_2001_0_10,3600000,NULL
changeTextFloor_1,HE01.중온수.공급온도,11,http://localhost:9898/current/hvac/2001_0_11,TAG_2001_0_11,3600000,NULL
changeTextFloor_1,HE01.중온수.환수온도,12,http://localhost:9898/current/hvac/2001_0_12,TAG_2001_0_12,3600000,NULL
changeTextFloor_1,HE01.공급온도,13,http://localhost:9898/current/hvac/2001_0_13,TAG_2001_0_13,3600000,NULL
changeTextFloor_1,HE01.환수온도,14,http://localhost:9898/current/hvac/2001_0_14,TAG_2001_0_14,3600000,NULL
changeTextFloor_1,HE02.중온수.공급온도,15,http://localhost:9898/current/hvac/2001_0_15,TAG_2001_0_15,3600000,NULL
changeTextFloor_1,HE02.중온수.환수온도,16,http://localhost:9898/current/hvac/2001_0_16,TAG_2001_0_16,3600000,NULL
changeTextFloor_1,HE02.공급온도,17,http://localhost:9898/current/hvac/2001_0_17,TAG_2001_0_17,3600000,NULL
changeTextFloor_1,HE02.환수온도,18,http://localhost:9898/current/hvac/2001_0_18,TAG_2001_0_18,3600000,NULL
changeTextFloor_1,지열.공급온도,19,http://localhost:9898/current/hvac/2001_0_19,TAG_2001_0_19,3600000,NULL
changeTextFloor_1,지열.환수온도,20,http://localhost:9898/current/hvac/2001_0_20,TAG_2001_0_20,3600000,NULL
changeTextFloor_1,외기온도,21,http://localhost:9898/current/hvac/2001_0_21,TAG_2001_0_21,3600000,NULL
changeTextFloor_0,경유탱크.레벨,22,http://localhost:9898/current/hvac/2001_0_22,TAG_2001_0_22,NULL,NULL
changeTextFloor_0,외기습도,23,http://localhost:9898/current/hvac/2001_0_23,TAG_2001_0_23,3600000,NULL
changeTextFloor_1,보일러.스팀헷더.압력,24,http://localhost:9898/current/hvac/2001_0_24,TAG_2001_0_24,NULL,NULL
changeTextFloor_1,공조기02.급기온도,25,http://localhost:9898/current/hvac/2001_0_25,TAG_2001_0_25,3600000,NULL
changeTextFloor_0,공조기02.급기습도,26,http://localhost:9898/current/hvac/2001_0_26,TAG_2001_0_26,3600000,NULL
