id,condition,no,tagid
1,CTCH01.경보:val == "Active",1,CTCH01.경보:TAG_2002_3_8
2,CTCH02.경보:val == "Active",2,CTCH02.경보:TAG_2002_3_7
3,CTCH04.경보:val == "Active",3,CTCH04.경보:TAG_2011_3_8
4,CTCH05.경보:val == "Active",4,CTCH05.경보:TAG_2003_3_10
5,CTCH06.경보:val == "Active",5,CTCH06.경보:TAG_2003_3_14
6,CTCH07.경보:val == "Active",6,CTCH07.경보:TAG_2007_3_13
7,CTCH08.경보:val == "Active",7,CTCH08.경보:TAG_2005_3_11
8,SUMP01.고수위경보:val == "Active",8,SUMP01.고수위경보:TAG_2001_3_36
9,SUMP02.고수위경보:val == "Active",9,SUMP02.고수위경보:TAG_2001_3_37
10,SUMP03.고수위경보:val == "Active",10,SUMP03.고수위경보:TAG_2011_3_9
11,SUMP04.고수위경보:val == "Active",11,SUMP04.고수위경보:TAG_2011_3_10
12,SUMP05.고수위경보:val == "Active",12,SUMP05.고수위경보:TAG_2014_3_7
13,SUMP06.고수위경보:val == "Active",13,SUMP06.고수위경보:TAG_2001_3_53
14,경유탱크.고수위경보:val == "Active",14,경유탱크.고수위경보:TAG_2001_3_39
15,경유탱크.저수위경보:val == "Active",15,경유탱크.저수위경보:TAG_2001_3_40
16,공조기01.급기경보:val == "Active",16,공조기01.급기경보:TAG_2002_3_10
17,공조기01.필터경보:val == "Active",17,공조기01.필터경보:TAG_2002_3_5
18,공조기01.화재경보:val == "Active",18,공조기01.화재경보:TAG_2002_3_3
19,공조기01.화재존01.경보:val == "Active",19,공조기01.화재존01.경보:TAG_2002_3_2
20,공조기01.화재존02.경보:val == "Active",20,공조기01.화재존02.경보:TAG_2001_5_32
21,공조기01.화재존03.경보:val == "Active",21,공조기01.화재존03.경보:TAG_2001_5_33
22,공조기01.화재존04.경보:val == "Active",22,공조기01.화재존04.경보:TAG_2001_5_34
23,공조기01.환기경보:val == "Active",23,공조기01.환기경보:TAG_2002_3_4
24,공조기02.급기경보:val == "Active",24,공조기02.급기경보:TAG_2001_3_33
25,공조기02.필터경보:val == "Active",25,공조기02.필터경보:TAG_2001_3_43
26,공조기02.화재경보:val == "Active",26,공조기02.화재경보:TAG_2001_3_42
27,공조기02.화재존01.경보:val == "Active",27,공조기02.화재존01.경보:TAG_2001_3_28
28,공조기02.환기경보:val == "Active",28,공조기02.환기경보:TAG_2001_3_41
29,공조기03.급기경보:val == "Active",29,공조기03.급기경보:TAG_2003_3_2
30,공조기03.필터경보:val == "Active",30,공조기03.필터경보:TAG_2003_3_6
31,공조기03.화재경보:val == "Active",31,공조기03.화재경보:TAG_2003_3_7
32,공조기03.화재존01.경보:val == "Active",32,공조기03.화재존01.경보:TAG_2003_3_8
33,공조기03.환기경보:val == "Active",33,공조기03.환기경보:TAG_2003_3_4
34,공조기04.급기경보:val == "Active",34,공조기04.급기경보:TAG_2004_3_2
35,공조기04.필터경보:val == "Active",35,공조기04.필터경보:TAG_2004_3_6
36,공조기04.화재경보:val == "Active",36,공조기04.화재경보:TAG_2004_3_7
37,공조기04.화재존01.경보:val == "Active",37,공조기04.화재존01.경보:TAG_2004_3_9
38,공조기04.환기경보:val == "Active",38,공조기04.환기경보:TAG_2004_3_4
39,공조기05.급기경보:val == "Active",39,공조기05.급기경보:TAG_2005_3_3
40,공조기05.필터경보:val == "Active",40,공조기05.필터경보:TAG_2005_3_7
41,공조기05.화재경보:val == "Active",41,공조기05.화재경보:TAG_2005_3_8
42,공조기05.화재존01.경보:val == "Active",42,공조기05.화재존01.경보:TAG_2005_3_9
43,공조기05.환기경보:val == "Active",43,공조기05.환기경보:TAG_2005_3_5
44,공조기06.급기경보:val == "Active",44,공조기06.급기경보:TAG_2006_3_3
45,공조기06.필터경보:val == "Active",45,공조기06.필터경보:TAG_2006_3_5
