animateType,name,no,tagAddr,tagID,interval,criteria
NULL,upsBasicIdentModel.0,1,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.1.1.1.0,1.3.6.1.4.1.318.1.1.1.1.1.1.0,NULL,NULL
NULL,upsBasicIdentName.0,2,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.1.1.2.0,1.3.6.1.4.1.318.1.1.1.1.1.2.0,NULL,NULL
NULL,upsAdvIdentFirmwareRevision.0,3,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.1.2.1.0,1.3.6.1.4.1.318.1.1.1.1.2.1.0,NULL,NULL
NULL,upsAdvIdentDateOfManufacture.0,4,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.1.2.2.0,1.3.6.1.4.1.318.1.1.1.1.2.2.0,NULL,NULL
NULL,upsAdvIdentSerialNumber.0,5,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.1.2.3.0,1.3.6.1.4.1.318.1.1.1.1.2.3.0,NULL,NULL
NULL,upsAdvIdentSkuNumber.0,6,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.1.2.5.0,1.3.6.1.4.1.318.1.1.1.1.2.5.0,NULL,NULL
NULL,upsBasicBatteryStatus.0,7,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.2.1.1.0,1.3.6.1.4.1.318.1.1.1.2.1.1.0,NULL,NULL
NULL,upsBasicBatteryTimeOnBattery.0,8,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.2.1.2.0,1.3.6.1.4.1.318.1.1.1.2.1.2.0,NULL,NULL
NULL,upsBasicBatteryLastReplaceDate.0,9,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.2.1.3.0,1.3.6.1.4.1.318.1.1.1.2.1.3.0,NULL,NULL
NULL,upsAdvBatteryCapacity.0,10,http://192.168.245.3:9898/monitor/ups/1.3.6.1.4.1.318.1.1.1.2.2.1.0,1.3.6.1.4.1.318.1.1.1.2.2.1.0,NULL,NULL
