tagID,animateType,name,tagAddr,no
TAG_1,changeImageGroup,ALL_1_1_SG,http://192.168.245.3:9898/monitor/lighting/1,1
TAG_1_0_1,changeImageGroup,untitle_1_1_0_1_T,http://192.168.245.3:9898/monitor/lighting/1_0_1,2
TAG_1_0_2,changeImageGroup,untitle_1_1_0_2_T,http://192.168.245.3:9898/monitor/lighting/1_0_2,3
TAG_1_0_3,changeImageGroup,untitle_1_1_0_3_T,http://192.168.245.3:9898/monitor/lighting/1_0_3,4
TAG_1_0_4,changeImageGroup,untitle_1_1_0_4_T,http://192.168.245.3:9898/monitor/lighting/1_0_4,5
TAG_1_1_G,changeImageGroup,ALL_1_1_1_G,http://192.168.245.3:9898/monitor/lighting/1_1,6
TAG_1_1_P,changeImageGroup,ALL_1_1_1_P,http://192.168.245.3:9898/monitor/lighting/1_1,7
TAG_1_1_1,changeImageGroup,F02_1_1_1_1_T,http://192.168.245.3:9898/monitor/lighting/1_1_1,8
TAG_1_1_2,changeImageGroup,F02_1_1_1_2_T,http://192.168.245.3:9898/monitor/lighting/1_1_2,9
TAG_1_1_3,changeImageGroup,F02_1_1_1_3_T,http://192.168.245.3:9898/monitor/lighting/1_1_3,10
TAG_1_1_4,changeImageGroup,F02_1_1_1_4_T,http://192.168.245.3:9898/monitor/lighting/1_1_4,11
TAG_1_10_1,changeImageGroup,F02_1_1_10_1_T,http://192.168.245.3:9898/monitor/lighting/1_10_1,12
TAG_1_10_2,changeImageGroup,F02_1_1_10_2_T,http://192.168.245.3:9898/monitor/lighting/1_10_2,13
TAG_1_10_3,changeImageGroup,F02_1_1_10_3_T,http://192.168.245.3:9898/monitor/lighting/1_10_3,14
TAG_1_10_4,changeImageGroup,F02_1_1_10_4_T,http://192.168.245.3:9898/monitor/lighting/1_10_4,15
TAG_1_11_1,changeImageGroup,F02_1_1_11_1_T,http://192.168.245.3:9898/monitor/lighting/1_11_1,16
TAG_1_11_2,changeImageGroup,F02_1_1_11_2_T,http://192.168.245.3:9898/monitor/lighting/1_11_2,17
TAG_1_11_3,changeImageGroup,F02_1_1_11_3_T,http://192.168.245.3:9898/monitor/lighting/1_11_3,18
TAG_1_11_4,changeImageGroup,F02_1_1_11_4_T,http://192.168.245.3:9898/monitor/lighting/1_11_4,19
TAG_1_12_1,changeImageGroup,F02_1_1_12_1_T,http://192.168.245.3:9898/monitor/lighting/1_12_1,20
TAG_1_12_2,changeImageGroup,F02_1_1_12_2_T,http://192.168.245.3:9898/monitor/lighting/1_12_2,21
TAG_1_12_3,changeImageGroup,F02_1_1_12_3_T,http://192.168.245.3:9898/monitor/lighting/1_12_3,22
TAG_1_12_4,changeImageGroup,F02_1_1_12_4_T,http://192.168.245.3:9898/monitor/lighting/1_12_4,23
TAG_1_13_1,changeImageGroup,untitle_1_1_13_1_T,http://192.168.245.3:9898/monitor/lighting/1_13_1,24
TAG_1_13_2,changeImageGroup,F02_1_1_13_2_T,http://192.168.245.3:9898/monitor/lighting/1_13_2,25
TAG_1_13_3,changeImageGroup,F02_1_1_13_3_T,http://192.168.245.3:9898/monitor/lighting/1_13_3,26
TAG_1_13_4,changeImageGroup,F02_1_1_13_4_T,http://192.168.245.3:9898/monitor/lighting/1_13_4,27
TAG_1_14_1,changeImageGroup,untitle_1_1_14_1_T,http://192.168.245.3:9898/monitor/lighting/1_14_1,28
TAG_1_14_2,changeImageGroup,F02_1_1_14_2_T,http://192.168.245.3:9898/monitor/lighting/1_14_2,29
TAG_1_14_3,changeImageGroup,F02_1_1_14_3_T,http://192.168.245.3:9898/monitor/lighting/1_14_3,30
TAG_1_14_4,changeImageGroup,F02_1_1_14_4_T,http://192.168.245.3:9898/monitor/lighting/1_14_4,31
TAG_1_15_1,changeImageGroup,F02_1_1_15_1_T,http://192.168.245.3:9898/monitor/lighting/1_15_1,32
TAG_1_15_2,changeImageGroup,F02_1_1_15_2_T,http://192.168.245.3:9898/monitor/lighting/1_15_2,33
TAG_1_15_3,changeImageGroup,F02_1_1_15_3_T,http://192.168.245.3:9898/monitor/lighting/1_15_3,34
TAG_1_15_4,changeImageGroup,F02_1_1_15_4_T,http://192.168.245.3:9898/monitor/lighting/1_15_4,35
TAG_1_16_1,changeImageGroup,F02_1_1_16_1_T,http://192.168.245.3:9898/monitor/lighting/1_16_1,36
TAG_1_16_2,changeImageGroup,F02_1_1_16_2_T,http://192.168.245.3:9898/monitor/lighting/1_16_2,37
TAG_1_16_3,changeImageGroup,F02_1_1_16_3_T,http://192.168.245.3:9898/monitor/lighting/1_16_3,38
TAG_1_16_4,changeImageGroup,F02_1_1_16_4_T,http://192.168.245.3:9898/monitor/lighting/1_16_4,39
TAG_1_17_1,changeImageGroup,F02_1_1_17_1_T,http://192.168.245.3:9898/monitor/lighting/1_17_1,40
TAG_1_17_2,changeImageGroup,F02_1_1_17_2_T,http://192.168.245.3:9898/monitor/lighting/1_17_2,41
TAG_1_17_3,changeImageGroup,F02_1_1_17_3_T,http://192.168.245.3:9898/monitor/lighting/1_17_3,42
TAG_1_17_4,changeImageGroup,F02_1_1_17_4_T,http://192.168.245.3:9898/monitor/lighting/1_17_4,43
TAG_1_18_1,changeImageGroup,untitle_1_1_18_1_T,http://192.168.245.3:9898/monitor/lighting/1_18_1,44
TAG_1_18_2,changeImageGroup,F02_1_1_18_2_T,http://192.168.245.3:9898/monitor/lighting/1_18_2,45
TAG_1_18_3,changeImageGroup,F02_1_1_18_3_T,http://192.168.245.3:9898/monitor/lighting/1_18_3,46
TAG_1_18_4,changeImageGroup,F02_1_1_18_4_T,http://192.168.245.3:9898/monitor/lighting/1_18_4,47
TAG_1_19_1,changeImageGroup,F02_1_1_19_1_T,http://192.168.245.3:9898/monitor/lighting/1_19_1,48
TAG_1_19_2,changeImageGroup,F02_1_1_19_2_T,http://192.168.245.3:9898/monitor/lighting/1_19_2,49
TAG_1_19_3,changeImageGroup,F02_1_1_19_3_T,http://192.168.245.3:9898/monitor/lighting/1_19_3,50
TAG_1_19_4,changeImageGroup,F02_1_1_19_4_T,http://192.168.245.3:9898/monitor/lighting/1_19_4,51
TAG_1_2_G,changeImageGroup,ALL_1_1_2_G,http://192.168.245.3:9898/monitor/lighting/1_2,52
TAG_1_2_P,changeImageGroup,ALL_1_1_2_P,http://192.168.245.3:9898/monitor/lighting/1_2,53
TAG_1_2_1,changeImageGroup,F02_1_1_2_1_T,http://192.168.245.3:9898/monitor/lighting/1_2_1,54
TAG_1_2_2,changeImageGroup,F02_1_1_2_2_T,http://192.168.245.3:9898/monitor/lighting/1_2_2,55
TAG_1_2_3,changeImageGroup,F02_1_1_2_3_T,http://192.168.245.3:9898/monitor/lighting/1_2_3,56
TAG_1_2_4,changeImageGroup,F02_1_1_2_4_T,http://192.168.245.3:9898/monitor/lighting/1_2_4,57
TAG_1_20_1,changeImageGroup,F02_1_1_20_1_T,http://192.168.245.3:9898/monitor/lighting/1_20_1,58
TAG_1_20_2,changeImageGroup,F02_1_1_20_2_T,http://192.168.245.3:9898/monitor/lighting/1_20_2,59
TAG_1_20_3,changeImageGroup,F02_1_1_20_3_T,http://192.168.245.3:9898/monitor/lighting/1_20_3,60
TAG_1_20_4,changeImageGroup,F02_1_1_20_4_T,http://192.168.245.3:9898/monitor/lighting/1_20_4,61
TAG_1_21_1,changeImageGroup,F02_1_1_21_1_T,http://192.168.245.3:9898/monitor/lighting/1_21_1,62
TAG_1_21_2,changeImageGroup,F02_1_1_21_2_T,http://192.168.245.3:9898/monitor/lighting/1_21_2,63
TAG_1_21_3,changeImageGroup,F02_1_1_21_3_T,http://192.168.245.3:9898/monitor/lighting/1_21_3,64
TAG_1_21_4,changeImageGroup,F02_1_1_21_4_T,http://192.168.245.3:9898/monitor/lighting/1_21_4,65
TAG_1_22_1,changeImageGroup,F02_1_1_22_1_T,http://192.168.245.3:9898/monitor/lighting/1_22_1,66
TAG_1_22_2,changeImageGroup,F02_1_1_22_2_T,http://192.168.245.3:9898/monitor/lighting/1_22_2,67
TAG_1_22_3,changeImageGroup,F02_1_1_22_3_T,http://192.168.245.3:9898/monitor/lighting/1_22_3,68
TAG_1_22_4,changeImageGroup,F02_1_1_22_4_T,http://192.168.245.3:9898/monitor/lighting/1_22_4,69
TAG_1_23_1,changeImageGroup,F02_1_1_23_1_T,http://192.168.245.3:9898/monitor/lighting/1_23_1,70
TAG_1_23_2,changeImageGroup,F02_1_1_23_2_T,http://192.168.245.3:9898/monitor/lighting/1_23_2,71
TAG_1_23_3,changeImageGroup,F02_1_1_23_3_T,http://192.168.245.3:9898/monitor/lighting/1_23_3,72
TAG_1_23_4,changeImageGroup,F02_1_1_23_4_T,http://192.168.245.3:9898/monitor/lighting/1_23_4,73
TAG_1_24_1,changeImageGroup,F02_1_1_24_1_T,http://192.168.245.3:9898/monitor/lighting/1_24_1,74
TAG_1_24_2,changeImageGroup,F02_1_1_24_2_T,http://192.168.245.3:9898/monitor/lighting/1_24_2,75
TAG_1_24_3,changeImageGroup,F02_1_1_24_3_T,http://192.168.245.3:9898/monitor/lighting/1_24_3,76
TAG_1_24_4,changeImageGroup,F02_1_1_24_4_T,http://192.168.245.3:9898/monitor/lighting/1_24_4,77
TAG_1_25_1,changeImageGroup,F02_1_1_25_1_T,http://192.168.245.3:9898/monitor/lighting/1_25_1,78
TAG_1_25_2,changeImageGroup,F02_1_1_25_2_T,http://192.168.245.3:9898/monitor/lighting/1_25_2,79
TAG_1_25_3,changeImageGroup,F02_1_1_25_3_T,http://192.168.245.3:9898/monitor/lighting/1_25_3,80
TAG_1_25_4,changeImageGroup,F02_1_1_25_4_T,http://192.168.245.3:9898/monitor/lighting/1_25_4,81
TAG_1_26_1,changeImageGroup,F01_1_1_26_1_T,http://192.168.245.3:9898/monitor/lighting/1_26_1,82
TAG_1_26_2,changeImageGroup,F01_1_1_26_2_T,http://192.168.245.3:9898/monitor/lighting/1_26_2,83
TAG_1_26_3,changeImageGroup,F01_1_1_26_3_T,http://192.168.245.3:9898/monitor/lighting/1_26_3,84
TAG_1_26_4,changeImageGroup,F01_1_1_26_4_T,http://192.168.245.3:9898/monitor/lighting/1_26_4,85
TAG_1_27_1,changeImageGroup,F01_1_1_27_1_T,http://192.168.245.3:9898/monitor/lighting/1_27_1,86
TAG_1_27_2,changeImageGroup,F01_1_1_27_2_T,http://192.168.245.3:9898/monitor/lighting/1_27_2,87
TAG_1_27_3,changeImageGroup,F01_1_1_27_3_T,http://192.168.245.3:9898/monitor/lighting/1_27_3,88
TAG_1_27_4,changeImageGroup,F01_1_1_27_4_T,http://192.168.245.3:9898/monitor/lighting/1_27_4,89
TAG_1_28_1,changeImageGroup,F01_1_1_28_1_T,http://192.168.245.3:9898/monitor/lighting/1_28_1,90
TAG_1_28_2,changeImageGroup,F01_1_1_28_2_T,http://192.168.245.3:9898/monitor/lighting/1_28_2,91
TAG_1_28_3,changeImageGroup,F01_1_1_28_3_T,http://192.168.245.3:9898/monitor/lighting/1_28_3,92
TAG_1_28_4,changeImageGroup,F01_1_1_28_4_T,http://192.168.245.3:9898/monitor/lighting/1_28_4,93
